ImageIndex,Date,PixelIndex,Latitude,Longitude,Band1,Band2,Band3,Band4,Fire_binary
438,2021-05,112,-12.508276763372836,-76.68917580528354,794.0,943.0,1057.0,1157.0,0
438,2021-05,113,-12.508276763372836,-76.68913088951933,786.0,935.0,1039.0,1126.0,0
438,2021-05,114,-12.508276763372836,-76.68908597375513,789.0,928.0,1034.0,1101.0,0
438,2021-05,115,-12.508276763372836,-76.68904105799092,781.0,917.0,1015.0,1082.0,0
438,2021-05,116,-12.508276763372836,-76.68899614222671,762.0,904.0,993.0,1063.0,0
438,2021-05,117,-12.508276763372836,-76.6889512264625,755.0,900.0,961.0,1068.0,0
438,2021-05,118,-12.508276763372836,-76.68890631069831,764.0,894.0,946.0,1098.0,0
438,2021-05,119,-12.508276763372836,-76.68886139493411,777.0,906.0,951.0,1122.0,0
438,2021-05,120,-12.508276763372836,-76.6888164791699,793.0,934.0,976.0,1117.0,0
438,2021-05,121,-12.508276763372836,-76.6887715634057,804.0,958.0,1010.0,1112.0,0
438,2021-05,122,-12.508276763372836,-76.68872664764149,818.0,985.0,1065.0,1140.0,0
438,2021-05,123,-12.508276763372836,-76.68868173187728,829.0,1002.0,1097.0,1178.0,0
438,2021-05,124,-12.508276763372836,-76.68863681611307,843.0,1001.0,1099.0,1198.0,0
438,2021-05,125,-12.508276763372836,-76.68859190034887,846.0,980.0,1074.0,1192.0,0
438,2021-05,126,-12.508276763372836,-76.68854698458466,826.0,950.0,1024.0,1174.0,0
438,2021-05,127,-12.508276763372836,-76.68850206882045,787.0,935.0,993.0,1155.0,0
438,2021-05,128,-12.508276763372836,-76.68845715305625,781.0,939.0,992.0,1138.0,0
438,2021-05,129,-12.508276763372836,-76.68841223729204,790.0,952.0,1011.0,1118.0,0
438,2021-05,130,-12.508276763372836,-76.68836732152783,828.0,1015.0,1110.0,1182.0,0
438,2021-05,131,-12.508276763372836,-76.68832240576363,863.0,1032.0,1143.0,1234.0,0
438,2021-05,132,-12.508276763372836,-76.68827748999942,888.0,1065.0,1172.0,1283.0,0
438,2021-05,133,-12.508276763372836,-76.68823257423522,896.0,1106.0,1218.0,1330.0,0
438,2021-05,134,-12.508276763372836,-76.68818765847101,911.0,1120.0,1227.0,1365.0,0
438,2021-05,135,-12.508276763372836,-76.6881427427068,924.0,1111.0,1220.0,1378.0,0
438,2021-05,136,-12.508276763372836,-76.6880978269426,911.0,1102.0,1231.0,1386.0,0
438,2021-05,137,-12.508276763372836,-76.68805291117839,914.0,1122.0,1236.0,1398.0,0
438,2021-05,138,-12.508276763372836,-76.68800799541418,919.0,1125.0,1230.0,1400.0,0
438,2021-05,139,-12.508276763372836,-76.68796307964998,928.0,1125.0,1250.0,1406.0,0
438,2021-05,140,-12.508276763372836,-76.68791816388578,937.0,1142.0,1284.0,1408.0,0
438,2021-05,141,-12.508276763372836,-76.68787324812158,956.0,1150.0,1294.0,1421.0,0
438,2021-05,142,-12.508276763372836,-76.68782833235737,967.0,1153.0,1288.0,1439.0,0
438,2021-05,143,-12.508276763372836,-76.68778341659316,967.0,1146.0,1289.0,1449.0,0
438,2021-05,144,-12.508276763372836,-76.68773850082896,978.0,1133.0,1305.0,1451.0,0
438,2021-05,145,-12.508276763372836,-76.68769358506475,974.0,1102.0,1274.0,1402.0,0
438,2021-05,146,-12.508276763372836,-76.68764866930054,946.0,1085.0,1228.0,1355.0,0
438,2021-05,147,-12.508276763372836,-76.68760375353634,945.0,1089.0,1222.0,1355.0,0
438,2021-05,148,-12.508276763372836,-76.68755883777213,953.0,1093.0,1233.0,1386.0,0
438,2021-05,149,-12.508276763372836,-76.68751392200792,951.0,1103.0,1219.0,1422.0,0
438,2021-05,150,-12.508276763372836,-76.68746900624372,940.0,1111.0,1212.0,1452.0,0
438,2021-05,151,-12.508276763372836,-76.68742409047951,953.0,1160.0,1258.0,1478.0,0
438,2021-05,152,-12.508276763372836,-76.6873791747153,967.0,1146.0,1260.0,1458.0,0
438,2021-05,153,-12.508276763372836,-76.6873342589511,963.0,1084.0,1244.0,1461.0,0
438,2021-05,154,-12.508276763372836,-76.68728934318689,936.0,1042.0,1199.0,1488.0,0
438,2021-05,155,-12.508276763372836,-76.68724442742268,894.0,1038.0,1149.0,1494.0,0
438,2021-05,156,-12.508276763372836,-76.68719951165848,881.0,1046.0,1133.0,1475.0,0
438,2021-05,157,-12.508276763372836,-76.68715459589427,896.0,1054.0,1136.0,1457.0,0
438,2021-05,158,-12.508276763372836,-76.68710968013006,891.0,1047.0,1128.0,1426.0,0
438,2021-05,159,-12.508276763372836,-76.68706476436586,876.0,1050.0,1122.0,1389.0,0
438,2021-05,160,-12.508276763372836,-76.68701984860165,873.0,1059.0,1159.0,1401.0,0
438,2021-05,161,-12.508276763372836,-76.68697493283744,894.0,1072.0,1177.0,1467.0,0
438,2021-05,162,-12.508276763372836,-76.68693001707325,903.0,1090.0,1194.0,1566.0,0
438,2021-05,163,-12.508276763372836,-76.68688510130904,917.0,1122.0,1219.0,1636.0,0
438,2021-05,164,-12.508276763372836,-76.68684018554484,943.0,1153.0,1266.0,1677.0,0
438,2021-05,165,-12.508276763372836,-76.68679526978063,960.0,1171.0,1320.0,1695.0,0
438,2021-05,166,-12.508276763372836,-76.68675035401643,983.0,1191.0,1346.0,1701.0,0
438,2021-05,167,-12.50832167913704,-76.69043344668131,970.0,1176.0,1405.0,1735.0,0
438,2021-05,168,-12.50832167913704,-76.6903885309171,947.0,1127.0,1345.0,1747.0,0
438,2021-05,169,-12.50832167913704,-76.6903436151529,904.0,1092.0,1271.0,1788.0,0
438,2021-05,170,-12.50832167913704,-76.69029869938869,888.0,1121.0,1347.0,1888.0,0
438,2021-05,171,-12.50832167913704,-76.69025378362448,904.0,1119.0,1367.0,1865.0,0
438,2021-05,172,-12.50832167913704,-76.69020886786028,897.0,1119.0,1381.0,1846.0,0
438,2021-05,173,-12.50832167913704,-76.69016395209607,890.0,1143.0,1385.0,1831.0,0
438,2021-05,174,-12.50832167913704,-76.69011903633186,899.0,1139.0,1363.0,1815.0,0
438,2021-05,175,-12.50832167913704,-76.69007412056766,917.0,1144.0,1338.0,1830.0,0
438,2021-05,176,-12.50832167913704,-76.69002920480345,922.0,1162.0,1348.0,1857.0,0
438,2021-05,177,-12.50832167913704,-76.68998428903924,932.0,1171.0,1370.0,1852.0,0
438,2021-05,178,-12.50832167913704,-76.68993937327504,956.0,1176.0,1383.0,1790.0,0
438,2021-05,179,-12.50832167913704,-76.68989445751085,957.0,1158.0,1392.0,1741.0,0
438,2021-05,180,-12.50832167913704,-76.68984954174664,922.0,1143.0,1374.0,1745.0,0
438,2021-05,181,-12.50832167913704,-76.68980462598243,893.0,1112.0,1350.0,1769.0,0
438,2021-05,182,-12.50832167913704,-76.68975971021823,896.0,1091.0,1343.0,1767.0,0
438,2021-05,183,-12.50832167913704,-76.68971479445402,907.0,1069.0,1344.0,1758.0,0
